City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,hilo,19.7297,-155.09,27.379999999999995,93,100,1.54,US,1669892755
66,yellowknife,62.456,-114.3525,-21.839999999999975,97,100,0.98,CA,1669892595
67,kavaratti,10.5669,72.642,27.80000000000001,70,45,1.36,IN,1669892755
68,vaini,-21.2,-175.2,26.30000000000001,81,69,3.98,TO,1669892756
69,bluefields,12.0137,-83.7635,23.450000000000045,92,91,3.11,NI,1669892756
70,sabang,5.8933,95.3214,27.850000000000023,70,78,2.02,ID,1669892756
71,lebu,-37.6167,-73.65,11.180000000000007,66,0,6.42,CL,1669892757
72,cabo san lucas,22.8909,-109.9124,22.510000000000048,80,13,3.09,MX,1669892757
73,kappeln,54.6612,9.9313,5.090000000000032,83,100,3.4,DE,1669892758
74,tuktoyaktuk,69.4541,-133.0374,-22.359999999999985,100,99,1.49,CA,1669892758
75,bambanglipuro,-7.95,110.2833,25.810000000000002,76,98,2.51,ID,1669892759
76,manono,-7.3,27.4167,22.420000000000016,91,99,1.32,CD,1669892759
77,arraial do cabo,-22.9661,-42.0278,23.920000000000016,94,40,7.72,BR,1669892759
78,mildura,-34.2,142.15,20.600000000000023,47,2,6.1,AU,1669892760
79,bengkulu,-3.8004,102.2655,25.890000000000043,82,100,1.18,ID,1669892760
80,new norfolk,-42.7826,147.0587,11.720000000000027,63,24,0.45,AU,1669892761
81,lavrentiya,65.5833,-171.0,-6.1299999999999955,94,98,1.03,RU,1669892470
82,saint-philippe,-21.3585,55.7679,27.77000000000004,77,49,3.62,RE,1669892762
83,flin flon,54.7682,-101.865,-21.899999999999977,96,100,2.78,CA,1669892762
84,amos,48.5669,-78.1162,-4.919999999999959,89,100,7.43,CA,1669892532
85,navalmoral de la mata,39.8916,-5.5406,15.53000000000003,54,4,3.07,ES,1669892459
86,saint george,37.1041,-113.5841,-0.6699999999999591,64,0,0.0,US,1669892689
87,olinda,-8.0089,-34.8553,26.850000000000023,74,75,4.12,BR,1669892628
88,barrow,71.2906,-156.7887,-6.989999999999952,86,100,2.57,US,1669892763
89,saint austell,50.3383,-4.7658,11.29000000000002,81,0,3.6,GB,1669892763
90,dalnerechensk,45.9339,133.7225,-19.49999999999997,88,37,3.33,RU,1669892764
91,coruripe,-10.1256,-36.1756,26.28000000000003,75,99,6.1,BR,1669892764
92,khandyga,62.6667,135.6,-34.48999999999998,98,100,0.82,RU,1669892765
93,provideniya,64.3833,-173.3,-3.9799999999999613,89,86,2.32,RU,1669892765
94,shobara,34.85,133.0167,1.8799999999999955,95,66,1.41,JP,1669892766
95,georgetown,5.4112,100.3354,26.960000000000036,85,40,4.63,MY,1669892706
96,avarua,-21.2078,-159.775,25.03000000000003,88,40,5.66,CK,1669892766
97,chokurdakh,70.6333,147.9167,-18.639999999999986,98,100,1.89,RU,1669892766
98,saint anthony,45.0205,-93.218,-12.379999999999995,85,0,2.06,US,1669892767
99,cayenne,4.9333,-52.3333,25.02000000000004,94,75,0.0,GF,1669892767
100,buta,2.7858,24.73,29.920000000000016,56,94,1.41,CD,1669892767
101,khatanga,71.9667,102.5,-17.809999999999974,97,100,5.49,RU,1669892768
102,port alfred,-33.5906,26.891,22.879999999999995,77,45,3.13,ZA,1669892768
103,vinh,18.6667,105.6667,19.54000000000002,93,100,5.74,VN,1669892768
104,perth,-31.9333,115.8333,20.58000000000004,71,75,6.17,AU,1669892470
105,kahului,20.8947,-156.47,24.360000000000014,90,0,2.06,US,1669892769
106,isangel,-19.55,169.2667,26.610000000000014,85,92,2.28,VU,1669892770
107,bredasdorp,-34.5322,20.0403,28.480000000000018,37,58,7.22,ZA,1669892476
108,dunmore town,25.5,-76.65,25.58000000000004,71,73,4.76,BS,1669892770
109,coquimbo,-29.9533,-71.3436,15.28000000000003,84,74,1.62,CL,1669892529
110,huaraz,-9.5333,-77.5333,8.200000000000045,91,99,0.78,PE,1669892524
111,tasiilaq,65.6145,-37.6368,5.090000000000032,88,100,1.7,GL,1669892771
112,ukiah,39.1502,-123.2078,10.520000000000039,93,100,4.63,US,1669892772
113,geraldton,-28.7667,114.6,20.230000000000018,68,40,5.66,AU,1669892772
114,dikson,73.5069,80.5464,-6.449999999999989,94,100,8.26,RU,1669892618
115,hasaki,35.7333,140.8333,8.220000000000027,81,100,7.12,JP,1669892772
116,sitka,57.0531,-135.33,-2.0600000000000023,69,100,3.6,US,1669892773
117,coahuayana,18.7333,-103.6833,22.83000000000004,92,73,1.18,MX,1669892773
118,arlit,18.7369,7.3853,26.939999999999998,14,95,1.76,NE,1669892773
119,salym,60.0625,71.4789,-23.609999999999985,94,8,0.42,RU,1669892632
120,bolgatanga,10.7856,-0.8514,35.44,14,49,1.19,GH,1669892774
121,praia da vitoria,38.7333,-27.0667,15.980000000000018,81,5,3.16,PT,1669892774
122,kavieng,-2.5744,150.7967,28.129999999999995,72,93,2.17,PG,1669892775
123,carnarvon,-24.8667,113.6333,21.660000000000025,73,3,8.45,AU,1669892775
124,san cristobal,7.7669,-72.225,17.100000000000023,93,43,1.88,VE,1669892775
125,deputatskiy,69.3,139.9,-26.00999999999999,97,100,2.01,RU,1669892775
126,asosa,10.0667,34.5333,29.410000000000025,21,84,2.52,ET,1669892776
127,chishtian mandi,29.8,72.8667,26.629999999999995,13,27,1.93,PK,1669892776
128,karasjok,69.4719,25.5112,-8.849999999999966,99,99,0.4,NO,1669892777
129,tautira,-17.7333,-149.15,25.730000000000018,83,78,6.88,PF,1669892714
130,hun,29.1268,15.9477,18.910000000000025,28,0,1.41,LY,1669892778
131,indre arna,60.4247,5.4764,5.53000000000003,79,98,1.34,NO,1669892779
132,tual,-5.6667,132.75,25.80000000000001,85,100,6.34,ID,1669892779
133,esperance,-33.8667,121.9,23.350000000000023,57,1,2.6,AU,1669892779
134,bulgan,48.8125,103.5347,-21.419999999999987,84,20,2.23,MN,1669892780
135,byron bay,-28.65,153.6167,16.640000000000043,91,100,8.53,AU,1669892526
136,chumikan,54.7183,135.315,-23.049999999999983,76,13,10.73,RU,1669892780
137,sorland,67.667,12.6934,3.920000000000016,72,36,4.01,NO,1669892781
138,lagoa,39.05,-27.9833,17.150000000000034,79,4,5.52,PT,1669892781
139,goderich,43.7501,-81.7165,0.5100000000000477,71,100,13.51,CA,1669892781
140,pundaguitan,6.3711,126.1689,27.650000000000034,80,100,7.16,PH,1669892782
141,kyshtovka,56.555,76.6271,-22.099999999999966,97,14,2.62,RU,1669892783
142,nemuro,43.3236,145.575,-1.2199999999999704,49,1,8.6,JP,1669892783
143,pacific grove,36.6177,-121.9166,10.050000000000011,76,75,2.68,US,1669892783
144,mar del plata,-38.0023,-57.5575,17.83000000000004,92,100,1.79,AR,1669892632
145,twentynine palms,34.1356,-116.0542,9.920000000000016,51,3,1.36,US,1669892784
146,khovu-aksy,51.1333,93.6,-27.43999999999997,94,7,1.28,RU,1669892784
147,suntar,62.1444,117.6319,-26.649999999999977,93,100,3.37,RU,1669892784
148,aklavik,68.2191,-135.0107,-16.089999999999975,97,100,0.54,CA,1669892785
149,chapais,49.7834,-74.8492,-5.1200000000000045,93,100,5.15,CA,1669892785
150,imbituba,-28.24,-48.6703,23.810000000000002,96,89,5.65,BR,1669892786
151,varkkallai,8.7341,76.7067,29.879999999999995,72,37,2.61,IN,1669892787
152,serafimovich,49.5786,42.736,-2.9899999999999523,41,71,5.64,RU,1669892788
153,xining,36.6167,101.7667,-4.069999999999993,35,88,1.13,CN,1669892788
154,lodja,-3.4833,23.4333,23.660000000000025,94,99,1.77,CD,1669892789
155,challakere,14.3167,76.65,29.439999999999998,41,43,2.83,IN,1669892789
156,poum,-20.2333,164.0167,27.760000000000048,84,99,5.13,NC,1669892790
157,digboi,27.3833,95.6333,19.53000000000003,61,2,0.54,IN,1669892790
158,dongning,44.0622,131.1207,-13.45999999999998,64,74,4.77,CN,1669892791
159,husavik,66.0449,-17.3389,3.2700000000000387,75,0,8.02,IS,1669892791
160,mahebourg,-20.4081,57.7,26.810000000000002,67,11,5.02,MU,1669892492
161,narsaq,60.9167,-46.05,-3.8799999999999955,82,55,1.09,GL,1669892792
162,mimongo,-1.6195,11.6068,29.930000000000007,52,100,1.96,GA,1669892792
163,jaciara,-15.9653,-54.9683,23.370000000000005,79,98,0.84,BR,1669892567
164,labuhan,-6.8844,112.2051,27.960000000000036,72,100,0.33,ID,1669892793
165,shimoda,34.6667,138.95,9.5,78,96,1.45,JP,1669892793
166,flinders,-34.5833,150.8552,17.25,80,97,1.62,AU,1669892793
167,oum hadjer,13.2954,19.6966,34.110000000000014,12,100,5.0,TD,1669892794
168,tecoanapa,16.5167,-98.75,24.230000000000018,87,22,1.91,MX,1669892794
169,saldanha,-33.0117,17.9442,20.939999999999998,69,68,5.45,ZA,1669892795
170,muisne,0.6,-80.0333,23.260000000000048,86,100,3.85,EC,1669892795
171,ketchikan,55.3422,-131.6461,-9.739999999999952,79,0,1.54,US,1669892795
172,vila franca do campo,37.7167,-25.4333,16.230000000000018,72,4,2.57,PT,1669892795
173,brewster,41.3973,-73.6171,2.180000000000007,62,40,4.63,US,1669892796
174,nargana,9.4428,-78.5906,25.75,81,10,5.37,PA,1669892796
175,port elizabeth,-33.918,25.5701,25.610000000000014,75,54,7.15,ZA,1669892582
176,bac giang,21.2667,106.2,15.04000000000002,76,100,5.31,VN,1669892797
177,ranong,9.9658,98.6348,27.25,78,89,2.49,TH,1669892797
178,hobyo,5.3505,48.5268,28.55000000000001,68,43,7.41,SO,1669892798
179,svobodnyy,51.4,128.1333,-26.149999999999977,92,19,2.9,RU,1669892798
180,kaitangata,-46.2817,169.8464,10.0,64,96,5.0,NZ,1669892798
181,klaksvik,62.2266,-6.589,10.510000000000048,99,100,7.53,FO,1669892799
182,pisco,-13.7,-76.2167,17.230000000000018,88,0,2.06,PE,1669892711
183,gobabis,-22.45,18.9667,32.54000000000002,17,3,4.42,NA,1669892799
184,mount gambier,-37.8333,140.7667,11.700000000000045,87,4,3.7,AU,1669892799
185,san carlos de bariloche,-41.1456,-71.3082,12.470000000000027,45,0,2.06,AR,1669892695
186,lompoc,34.6391,-120.4579,10.990000000000009,94,75,1.54,US,1669892800
187,bolshaya martynovka,47.271,41.6679,2.57000000000005,32,41,8.65,RU,1669892800
188,markivka,49.5229,39.5705,0.060000000000002274,35,99,6.67,UA,1669892801
189,lorengau,-2.0226,147.2712,27.400000000000034,78,76,2.92,PG,1669892802
190,dhidhdhoo,6.8833,73.1,27.510000000000048,70,82,1.29,MV,1669892802
191,vanavara,60.34,102.2797,-27.339999999999975,95,86,2.14,RU,1669892802
192,half moon bay,37.4636,-122.4286,11.879999999999995,81,100,8.75,US,1669892802
193,mamou,10.5,-12.0,30.5,39,82,1.09,GN,1669892803
194,cherskiy,68.75,161.3,-5.8799999999999955,89,99,5.47,RU,1669892803
195,aasiaat,68.7098,-52.8699,-9.95999999999998,71,100,6.75,GL,1669892803
196,kachug,53.9606,105.8817,-18.98999999999998,84,100,4.99,RU,1669892804
197,saurimo,-9.6608,20.3916,28.939999999999998,48,81,1.32,AO,1669892804
198,ikryanoye,46.0932,47.7308,2.990000000000009,40,2,6.42,RU,1669892804
199,makakilo city,21.3469,-158.0858,23.160000000000025,83,0,2.57,US,1669892805
200,sechura,-5.5569,-80.8222,18.200000000000045,88,69,3.02,PE,1669892805
201,andenes,69.3143,16.1194,3.8500000000000227,93,75,2.06,NO,1669892805
202,codrington,-38.2667,141.9667,10.870000000000005,85,14,4.17,AU,1669892806
203,oranjemund,-28.55,16.4333,20.610000000000014,70,3,7.55,NA,1669892677
204,neiafu,-18.65,-173.9833,26.670000000000016,77,46,3.01,TO,1669892807
205,qui nhon,13.7667,109.2333,25.05000000000001,91,99,5.21,VN,1669892807
206,luderitz,-26.6481,15.1594,22.879999999999995,60,4,9.76,NA,1669892570
207,dolinsk,47.35,142.8,-10.199999999999989,86,76,4.7,RU,1669892808
208,shenjiamen,29.9576,122.298,9.080000000000041,89,100,9.52,CN,1669892634
209,fukue,32.6881,128.8419,9.370000000000005,60,99,8.88,JP,1669892809
210,ambon,-3.6954,128.1814,26.08000000000004,89,40,3.09,ID,1669892811
211,pevek,69.7008,170.3133,-5.2999999999999545,78,75,9.59,RU,1669892811
212,iranshahr,27.2025,60.6848,27.129999999999995,12,87,2.76,IR,1669892781
213,salinopolis,-0.6136,-47.3561,27.410000000000025,78,61,4.26,BR,1669892812
214,atuntaqui,0.3333,-78.2167,10.090000000000032,89,69,0.37,EC,1669892812
215,varhaug,58.6147,5.6457,6.3799999999999955,68,99,5.67,NO,1669892812
216,gizo,-8.103,156.8419,27.29000000000002,80,99,4.76,SB,1669892813
217,bethel,41.3712,-73.414,2.5100000000000477,59,40,4.63,US,1669892813
218,port augusta,-32.5,137.7667,20.200000000000045,59,50,5.59,AU,1669892813
219,segovia,41.1667,-4.0,6.910000000000025,51,0,2.28,ES,1669892195
220,meulaboh,4.1363,96.1285,25.420000000000016,85,100,1.22,ID,1669892814
221,agua dulce,18.1333,-94.1333,24.220000000000027,84,49,3.58,MX,1669892815
222,baillif,16.0202,-61.7463,21.720000000000027,77,8,3.81,GP,1669892815
223,moose factory,51.2585,-80.6094,-3.009999999999991,80,100,9.77,CA,1669892815
224,alyangula,-13.8483,136.4192,28.890000000000043,70,100,4.35,AU,1669892816
225,orlik,52.5178,99.825,-20.97999999999999,89,99,1.79,RU,1669892816
226,bambous virieux,-20.3428,57.7575,26.79000000000002,66,4,5.36,MU,1669892816
227,melfi,40.9965,15.6514,7.220000000000027,84,100,1.92,IT,1669892817
228,svetlogorsk,52.6333,29.7333,-2.7999999999999545,89,40,3.16,BY,1669892817
229,makkaveyevo,51.7533,113.9454,-14.319999999999993,68,100,5.95,RU,1669892817
230,price,39.5994,-110.8107,-8.409999999999968,53,0,2.57,US,1669892682
231,kidal,18.4411,1.4078,28.680000000000007,14,90,3.09,ML,1669892818
232,tondano,1.3038,124.9112,23.05000000000001,95,100,1.16,ID,1669892818
233,chara,56.9064,118.2631,-28.75999999999999,77,100,1.13,RU,1669892819
234,kashi,39.4547,75.9797,-1.7199999999999704,17,96,0.86,CN,1669892819
235,fomboni,-12.28,43.7425,26.82000000000005,65,0,1.51,KM,1669892819
236,emerald,-23.5333,148.1667,19.629999999999995,73,42,6.82,AU,1669892764
237,tarrafal,15.2833,-23.7667,24.03000000000003,63,95,7.32,CV,1669892820
238,muros,42.7762,-9.0603,12.830000000000041,75,1,3.49,ES,1669892820
239,charyshskoye,51.3978,83.5598,-19.369999999999976,94,43,1.43,RU,1669892821
240,nome,64.5011,-165.4064,-5.9599999999999795,86,0,2.57,US,1669892821
241,ust-tsilma,65.441,52.1498,-16.870000000000005,99,99,1.83,RU,1669892821
242,elbistan,38.2059,37.1983,11.629999999999995,68,93,0.14,TR,1669892822
243,gazli,40.1333,63.45,4.6299999999999955,31,100,5.19,UZ,1669892822
244,pizhma,57.8642,47.1171,-9.339999999999975,94,50,0.89,RU,1669892822
245,tocopilla,-22.092,-70.1979,18.650000000000034,70,10,2.81,CL,1669892823
246,fort walton beach,30.4058,-86.6188,7.800000000000011,63,0,4.92,US,1669892823
247,caravelas,-17.7125,-39.2481,27.170000000000016,75,100,0.26,BR,1669892824
248,scarborough,54.2797,-0.4044,5.920000000000016,89,41,1.79,GB,1669892728
249,cap malheureux,-19.9842,57.6142,26.930000000000007,63,4,3.13,MU,1669892824
250,vao,-22.6667,167.4833,25.879999999999995,86,88,6.0,NC,1669892825
251,banes,20.9625,-75.7186,25.600000000000023,73,76,4.09,CU,1669892825
252,knysna,-34.0363,23.0471,24.670000000000016,57,30,4.41,ZA,1669892786
253,coihaique,-45.5752,-72.0662,5.430000000000007,89,63,3.74,CL,1669892526
254,chuy,-33.6971,-53.4616,24.04000000000002,77,80,4.62,UY,1669892826
255,ca mau,9.1769,105.15,25.970000000000027,78,100,3.7,VN,1669892827
256,santa marinella,42.0345,11.8536,14.28000000000003,60,17,0.89,IT,1669892827
